"country","year","production"
"MEX",1971,23650.4041346089
"MEX",1972,24600.0707279758
"MEX",1973,25097.3926786936
"MEX",1974,31741.6373133945
"MEX",1975,39020.802497495
"MEX",1976,44018.0237940591
"MEX",1977,53679.6521970528
"MEX",1978,66192.9791323846
"MEX",1979,79804.0047391005
"MEX",1980,108249.791654686
"MEX",1981,129074.179486229
"MEX",1982,152619.905992983
"MEX",1983,147754.961340456
"MEX",1984,149444.940130076
"MEX",1985,145783.667821082
"MEX",1986,135168.470858907
"MEX",1987,142225.453675983
"MEX",1988,140720.417669322
"MEX",1989,140798.588680929
"MEX",1990,141056.452750201
"MEX",1991,148988.362323138
"MEX",1992,147931.989723334
"MEX",1993,149151.992476385
"MEX",1994,147743.955190828
"MEX",1995,144548.686087944
"MEX",1996,151055.806738708
"MEX",1997,162248.287660536
"MEX",1998,159313.341804653
"MEX",1999,157194.750087065
"MEX",2000,159640.830874469
"MEX",2001,164932.469680023
"MEX",2002,170353.693612607
"MEX",2003,185929.99307959
"MEX",2004,189814.730705691
"MEX",2005,184998.904412984
"MEX",2006,178007.166899045
"MEX",2007,168052.771343143
"MEX",2008,158166.223659079
"MEX",2009,146727.319371814
"MEX",2010,144983.021259275
"MEX",2011,142883.00436895
"MEX",2012,142433.366314115
"MEX",2013,139516.05571677
"MEX",2014,134452.373874252
"MEX",2015,121581.474165143
"MEX",2016,115855.393120493
"MEX",2017,104763.921567088
"USA",1971,482148.251592227
"USA",1972,481438.513316115
"USA",1973,466801.937144467
"USA",1974,445562.278961743
"USA",1975,424218.461520317
"USA",1976,413700.069547373
"USA",1977,418268.583068703
"USA",1978,441771.444325042
"USA",1979,433877.023272602
"USA",1980,437341.419390536
"USA",1981,434873.356876825
"USA",1982,438791.634394303
"USA",1983,440750.905460986
"USA",1984,452802.33212109
"USA",1985,456251.034249477
"USA",1986,442481.940839856
"USA",1987,425481.04336043
"USA",1988,415990.981932353
"USA",1989,387986.892594932
"USA",1990,374872.884057198
"USA",1991,378003.889735352
"USA",1992,366463.443735642
"USA",1993,348948.913518163
"USA",1994,339523.117414159
"USA",1995,334321.388001332
"USA",1996,330385.960004979
"USA",1997,328822.66484338
"USA",1998,318637.196270322
"USA",1999,299756.142289738
"USA",2000,297521.454402147
"USA",2001,295683.374044706
"USA",2002,292840.243061693
"USA",2003,289530.188038716
"USA",2004,276931.200881422
"USA",2005,263901.381264249
"USA",2006,260021.910325027
"USA",2007,258103.6761124
"USA",2008,253003.964168084
"USA",2009,273217.668768208
"USA",2010,279236.623774239
"USA",2011,287610.187710632
"USA",2012,332000.173070714
"USA",2013,380520.193515833
"USA",2014,446097.803098748
"USA",2015,472637.856460538
"USA",2016,446522.828584445
"USA",2017,470373.907690682
"CHN",1971,40115.5198092617
"CHN",1972,46503.6548774832
"CHN",1973,54574.6888487701
"CHN",1974,65999.9309840489
"CHN",1975,78465.7901690399
"CHN",1976,88745.4270827913
"CHN",1977,95341.3254136056
"CHN",1978,105942.768672968
"CHN",1979,108058.134534522
"CHN",1980,107864.043840978
"CHN",1981,103040.656059338
"CHN",1982,103978.935164639
"CHN",1983,107964.727717251
"CHN",1984,116692.431192876
"CHN",1985,127158.247523978
"CHN",1986,133030.834103945
"CHN",1987,136574.264040899
"CHN",1988,139527.708925655
"CHN",1989,140114.38284125
"CHN",1990,138324.807293968
"CHN",1991,141006.531673016
"CHN",1992,142098.114550959
"CHN",1993,145155.093603475
"CHN",1994,146093.190928742
"CHN",1995,150038.92367954
"CHN",1996,157317.692846345
"CHN",1997,160759.490205193
"CHN",1998,161003.747051349
"CHN",1999,160012.244126033
"CHN",2000,163004.565549614
"CHN",2001,163961.731855847
"CHN",2002,166983.030595314
"CHN",2003,169595.075156549
"CHN",2004,175871.528452227
"CHN",2005,181372.52253365
"CHN",2006,184781.216641873
"CHN",2007,186320.579282485
"CHN",2008,190437.295397678
"CHN",2009,189502.570447605
"CHN",2010,203021.33390566
"CHN",2011,202878.120443108
"CHN",2012,207485.874130793
"CHN",2013,209928.455005154
"CHN",2014,211446.891585967
"CHN",2015,214547.463746224
"CHN",2016,199702.38494724
"CHN",2017,191490.384115906
"IRN",1971,230187.517499663
"IRN",1972,255697.871020137
"IRN",1973,297157.447446854
"IRN",1974,305663.017818771
"IRN",1975,271597.435546221
"IRN",1976,299852.113305714
"IRN",1977,286398.149850301
"IRN",1978,266722.017475412
"IRN",1979,162162.877269466
"IRN",1980,75083.5223190582
"IRN",1981,73433.3225426315
"IRN",1982,122091.833927849
"IRN",1983,124634.227922812
"IRN",1984,110577.23156695
"IRN",1985,113008.528499386
"IRN",1986,92524.1080182634
"IRN",1987,117195.935913713
"IRN",1988,129410.293910576
"IRN",1989,149038.444853754
"IRN",1990,165288.852117677
"IRN",1991,172594.814497622
"IRN",1992,186875.611636655
"IRN",1993,197797.784509231
"IRN",1994,195671.219155647
"IRN",1995,198697.811598816
"IRN",1996,196470.050060637
"IRN",1997,194658.539126521
"IRN",1998,195521.749151677
"IRN",1999,189057.507757854
"IRN",2000,196881.787241584
"IRN",2001,187515.547402768
"IRN",2002,184040.654147273
"IRN",2003,201547.587667121
"IRN",2004,202762.992115248
"IRN",2005,212159.713721669
"IRN",2006,214034.386035706
"IRN",2007,216476.579064087
"IRN",2008,212476.562898842
"IRN",2009,199565.107520058
"IRN",2010,200298.011835344
"IRN",2011,198339.720852641
"IRN",2012,144859.298738838
"IRN",2013,143311.668866712
"IRN",2014,142393.096009349
"IRN",2015,142074.910700763
"IRN",2016,190751.395767832
"IRN",2017,204021.739817991
"SAU",1971,241123.978984567
"SAU",1972,304845.687681592
"SAU",1973,383560.436587022
"SAU",1974,427966.822493862
"SAU",1975,357239.20378834
"SAU",1976,434123.127437396
"SAU",1977,463705.459847824
"SAU",1978,423138.747908572
"SAU",1979,480733.369010065
"SAU",1980,511339.20741558
"SAU",1981,500804.261396588
"SAU",1982,331092.33104528
"SAU",1983,257966.689319383
"SAU",1984,235928.631860258
"SAU",1985,173737.285820597
"SAU",1986,253898.413199589
"SAU",1987,213647.772414444
"SAU",1988,257966.471208554
"SAU",1989,256625.875202512
"SAU",1990,324361.237427694
"SAU",1991,416719.570762374
"SAU",1992,426265.302793982
"SAU",1993,418889.640430064
"SAU",1994,405580.813193691
"SAU",1995,406243.739686226
"SAU",1996,408868.110438058
"SAU",1997,403216.899857261
"SAU",1998,416207.846421471
"SAU",1999,380979.539491342
"SAU",2000,410077.014111798
"SAU",2001,396358.374030704
"SAU",2002,359211.054001162
"SAU",2003,425885.44246983
"SAU",2004,451770.564601012
"SAU",2005,473641.974329312
"SAU",2006,466307.360917842
"SAU",2007,446417.969763923
"SAU",2008,467051.966389175
"SAU",2009,414466.962307607
"SAU",2010,413485.441644088
"SAU",2011,471529.375838889
"SAU",2012,495780.926484674
"SAU",2013,488025.376064744
"SAU",2014,491838.468327865
"SAU",2015,516160.892787601
"SAU",2016,531171.876978214
"SAU",2017,507802.607097704
"IRQ",1971,85195.5322322441
"IRQ",1972,73794.8762920445
"IRQ",1973,101842.947197902
"IRQ",1974,99073.1769589206
"IRQ",1975,113723.660154461
"IRQ",1976,121646.100338538
"IRQ",1977,117775.58371981
"IRQ",1978,129616.377145766
"IRQ",1979,175237.108057611
"IRQ",1980,134162.801105489
"IRQ",1981,45112.3964391213
"IRQ",1982,50214.8886236797
"IRQ",1983,48981.1977859386
"IRQ",1984,60109.664430804
"IRQ",1985,71503.3430311928
"IRQ",1986,85157.759856825
"IRQ",1987,105037.084739763
"IRQ",1988,136331.638698336
"IRQ",1989,139992.023272978
"IRQ",1990,106159.960833954
"IRQ",1991,17763.9010603988
"IRQ",1992,26446.7742272926
"IRQ",1993,33125.8129652516
"IRQ",1994,37605.8331672074
"IRQ",1995,37019.8822019426
"IRQ",1996,37225.7419802795
"IRQ",1997,75586.6926102908
"IRQ",1998,109412.438350211
"IRQ",1999,128247.597189875
"IRQ",2000,131613.173095991
"IRQ",2001,130448.892498733
"IRQ",2002,112384.049685856
"IRQ",2003,78357.6236965634
"IRQ",2004,102693.433747923
"IRQ",2005,94817.3035755999
"IRQ",2006,98622.3538699319
"IRQ",2007,102595.537041316
"IRQ",2008,114092.86246726
"IRQ",2009,118079.950806097
"IRQ",2010,118547.814096515
"IRQ",2011,133562.046096424
"IRQ",2012,148227.137936041
"IRQ",2013,149706.871372392
"IRQ",2014,156405.23521395
"IRQ",2015,175832.919618835
"IRQ",2016,225406.853802421
"IRQ",2017,228226.171514554
"KWT",1971,155959.721012096
"KWT",1972,167981.406097765
"KWT",1973,154001.075518481
"KWT",1974,129832.983267914
"KWT",1975,106368.15826623
"KWT",1976,108613.401084529
"KWT",1977,99318.5521213645
"KWT",1978,109121.453935531
"KWT",1979,127690.007503629
"KWT",1980,85105.0138285603
"KWT",1981,57609.149866304
"KWT",1982,42062.3561448994
"KWT",1983,53845.8659949222
"KWT",1984,59903.9156254834
"KWT",1985,54641.8075441505
"KWT",1986,57271.4855983966
"KWT",1987,62290.5731250639
"KWT",1988,73871.7046511391
"KWT",1989,88296.777325433
"KWT",1990,44875.6496338015
"KWT",1991,9292.26662612739
"KWT",1992,54679.3532353915
"KWT",1993,96888.8263658154
"KWT",1994,103338.541372712
"KWT",1995,103369.866112423
"KWT",1996,103593.759916974
"KWT",1997,103380.834028577
"KWT",1998,105672.563784961
"KWT",1999,96436.7137683737
"KWT",2000,102491.976592778
"KWT",2001,100265.164872543
"KWT",2002,89940.3732500555
"KWT",2003,108560.485831334
"KWT",2004,118185.303734436
"KWT",2005,132540.056780461
"KWT",2006,136211.878395256
"KWT",2007,132602.80572808
"KWT",2008,138204.661862447
"KWT",2009,116491.316230836
"KWT",2010,119084.560687575
"KWT",2011,136933.053676822
"KWT",2012,153745.913783581
"KWT",2013,150477.900632885
"KWT",2014,147639.235656518
"KWT",2015,147231.162484977
"KWT",2016,152171.771732774
"KWT",2017,142799.413596346
"VEN",1971,197993.958601898
"VEN",1972,179601.71293296
"VEN",1973,188592.210624394
"VEN",1974,166521.225380795
"VEN",1975,130524.105590653
"VEN",1976,128171.702159574
"VEN",1977,125036.175856612
"VEN",1978,121337.890160696
"VEN",1979,132391.629966277
"VEN",1980,122478.121923154
"VEN",1981,119134.724496724
"VEN",1982,107116.778175597
"VEN",1983,101937.079888103
"VEN",1984,102313.055537186
"VEN",1985,94193.4293389818
"VEN",1986,100610.590049723
"VEN",1987,102240.207872975
"VEN",1988,106338.621023378
"VEN",1989,106163.58171267
"VEN",1990,118953.693417813
"VEN",1991,133911.372101476
"VEN",1992,134365.63874964
"VEN",1993,140408.477409304
"VEN",1994,145014.21112379
"VEN",1995,157571.501966516
"VEN",1996,179260.150524113
"VEN",1997,189700.724778276
"VEN",1998,184229.760502594
"VEN",1999,165722.851990775
"VEN",2000,170907.433236662
"VEN",2001,169398.554074949
"VEN",2002,155858.702813371
"VEN",2003,137544.524995949
"VEN",2004,174430.232064682
"VEN",2005,180943.813885949
"VEN",2006,183923.93818845
"VEN",2007,157993.015724478
"VEN",2008,161640.914826559
"VEN",2009,163493.454741274
"VEN",2010,161781.227472024
"VEN",2011,162239.97563643
"VEN",2012,157932.871092323
"VEN",2013,156396.382879246
"VEN",2014,150325.704433416
"VEN",2015,149087.774746511
"VEN",2016,133988.810888777
"VEN",2017,117650.399399564
